OrderID,Product,Category,Quantity,Price,CustomerID,Birthdate,OrderDate,Country
34,스웨터,Clothing,4,25000,1967,1993-05-28,2024-03-28 15:40,대한민국
35,향수,Beauty,5,18000,1640,1982-06-30,2024-05-21 23:33,중국
36,자기계발,Books,5,11000,1494,1977-12-25,2024-01-22 4:10,중국
37,커피,Food,5,29000,1621,1984-09-29,2024-08-15 1:12,대한민국
38,청바지,Clothing,1,32000,1764,2002-09-26,2024-09-07 4:09,독일
39,향수,Beauty,4,15000,1941,1980-11-30,2023-10-08 5:49,대한민국
40,소설,Books,1,47000,1496,1964-08-29,2024-07-26 23:55,중국
41,립스틱,Beauty,4,34000,1896,1986-04-23,2024-08-13 22:56,미국
42,자켓,Clothing,2,6000,1136,1970-01-11,2023-12-07 14:37,독일
43,청바지,Clothing,5,8000,1278,1971-04-01,2024-07-03 9:17,미국
44,소설,Books,2,23000,1940,1972-03-16,2024-03-18 19:47,미국
45,소설,Books,3,6000,1370,1983-07-24,2024-02-15 13:32,대한민국
46,스웨터,Clothing,2,27000,1047,1987-06-06,2024-01-21 4:51,중국
47,초콜릿,Food,1,17000,1673,1998-09-29,2023-12-05 23:14,중국
48,로션,Beauty,1,13000,1434,1964-12-03,2023-12-28 18:05,일본
49,태블릿,Electronics,4,24000,1501,1992-05-20,2024-07-28 17:01,대한민국
50,립스틱,Beauty,5,7000,1611,1986-03-31,2024-02-13 8:40,중국
51,스케이트보드,Sports,5,36000,1674,1983-01-04,2023-11-14 16:50,중국
52,향수,Beauty,4,17000,1746,1982-11-29,2023-11-11 7:46,미국
53,초콜릿,Food,5,33000,1029,1990-01-03,2024-03-01 22:02,독일
54,소설,Books,4,19000,1646,1966-08-06,2023-11-12 19:27,독일
55,소설,Books,3,7000,1439,1972-08-14,2024-02-22 15:32,미국
56,커피,Food,2,43000,1214,1994-04-15,2024-08-30 10:05,대한민국
57,역사책,Books,2,43000,1768,1989-05-12,2024-02-16 17:44,일본
58,커피,Food,5,26000,1546,1972-05-28,2024-05-27 14:28,중국
59,노트북,Electronics,3,30000,1247,1999-06-19,2024-01-16 20:51,일본
60,화장품,Beauty,1,16000,1399,1968-08-27,2024-08-14 19:33,대한민국
61,스케이트보드,Sports,1,31000,1141,1987-12-08,2023-10-22 1:02,미국
62,운동화,Sports,1,41000,1496,1992-12-17,2024-07-15 21:21,독일
63,과학책,Books,1,49000,1512,1989-09-26,2024-04-01 10:20,중국
64,셔츠,Clothing,4,46000,1747,1996-12-24,2024-05-01 2:19,독일
65,과학책,Books,5,6000,1055,1995-03-02,2023-11-23 13:37,독일
66,셔츠,Clothing,1,48000,1797,2003-01-09,2024-09-28 10:13,대한민국
67,스마트워치,Electronics,5,16000,1392,1985-09-30,2024-03-01 13:50,중국
68,노트북,Electronics,1,12000,1172,1965-12-29,2023-11-05 7:45,일본
69,역사책,Books,1,17000,1540,1986-02-15,2024-05-07 20:40,중국
70,스케이트보드,Sports,1,11000,1446,1985-11-24,2024-01-27 22:37,독일
71,초콜릿,Food,4,16000,1560,1984-02-09,2024-08-23 2:17,중국
72,초콜릿,Food,1,48000,1696,1976-03-09,2024-06-06 9:59,대한민국
73,립스틱,Beauty,4,16000,1381,1975-06-11,2024-06-02 23:37,중국
74,립스틱,Beauty,2,41000,1777,2004-07-25,2024-09-13 7:15,중국
75,역사책,Books,1,17000,1361,1979-09-10,2024-09-04 3:37,미국
76,헤드폰,Electronics,3,46000,1039,1963-10-13,2024-02-23 20:44,대한민국
77,초콜릿,Food,1,32000,1038,1995-08-13,2024-05-17 6:10,일본
78,립스틱,Beauty,1,26000,1508,2004-07-05,2023-12-19 2:35,독일
79,소설,Books,3,12000,1488,1979-05-13,2024-07-05 10:00,일본
80,로션,Beauty,3,33000,1007,1972-01-02,2023-11-02 2:34,일본
81,셔츠,Clothing,4,13000,1138,1989-05-07,2023-10-23 19:12,일본
82,과학책,Books,2,15000,1278,1992-08-31,2024-06-18 10:51,미국
83,축구공,Sports,3,21000,1472,1992-01-03,2024-01-02 2:21,독일
84,요가매트,Sports,4,43000,1157,1982-03-12,2024-08-01 7:15,미국
85,화장품,Beauty,1,7000,1673,1974-01-19,2024-01-26 4:52,독일
86,셔츠,Clothing,5,49000,1354,1986-07-27,2023-11-05 18:59,독일
87,샴푸,Beauty,1,10000,1865,1998-08-05,2024-09-02 9:39,일본
88,라면,Food,3,11000,1572,1969-07-17,2024-01-04 4:34,독일
89,노트북,Electronics,4,12000,1421,1994-04-21,2024-09-06 1:14,중국
90,화장품,Beauty,2,16000,1842,2004-06-18,2023-11-14 19:45,독일
91,역사책,Books,3,18000,1642,1970-03-09,2024-03-01 5:36,일본
92,운동화,Sports,1,42000,1715,1987-02-11,2024-01-21 8:29,독일
93,샴푸,Beauty,3,13000,1150,1974-02-03,2024-03-30 2:14,대한민국
94,자켓,Clothing,5,42000,1141,1970-03-30,2024-06-08 9:11,중국
95,축구공,Sports,2,8000,1206,1991-09-24,2024-08-24 16:19,독일
96,라면,Food,2,5000,1102,1965-04-15,2024-02-24 6:53,중국
97,과자,Food,4,34000,1947,1990-09-28,2023-12-08 10:32,독일
98,역사책,Books,5,13000,1697,2004-06-28,2024-02-26 8:11,중국
99,헤드폰,Electronics,4,48000,1632,1972-09-06,2024-02-20 6:32,미국
100,소설,Books,5,43000,1589,1997-02-11,2023-12-26 10:09,대한민국
101,화장품,Beauty,3,41000,1421,1994-08-31,2024-06-22 22:22,일본
102,라면,Food,1,42000,1498,2004-08-06,2024-01-17 8:50,중국
103,스웨터,Clothing,1,29000,1570,1964-06-27,2024-07-04 0:07,독일
104,커피,Food,5,38000,1511,2004-07-24,2024-10-03 10:55,독일
105,요가매트,Sports,5,25000,1422,2002-03-13,2024-06-27 19:58,일본
106,향수,Beauty,4,37000,1832,1965-02-02,2024-06-13 4:57,독일
107,자전거,Sports,2,12000,1061,2003-06-21,2023-11-02 3:42,일본
108,화장품,Beauty,5,33000,1963,1990-05-28,2024-05-29 17:43,미국
109,스마트폰,Electronics,4,47000,1720,2002-05-24,2024-06-08 4:17,독일
110,요가매트,Sports,3,28000,1129,1973-06-26,2023-12-11 3:00,일본
111,셔츠,Clothing,1,47000,1237,1970-10-04,2024-04-30 7:41,대한민국
112,커피,Food,3,29000,1602,1983-10-16,2024-07-15 1:57,미국
113,과자,Food,5,29000,1476,1986-01-03,2024-01-09 2:51,미국
114,라면,Food,1,11000,1654,1991-09-07,2023-12-08 5:21,일본
115,태블릿,Electronics,2,30000,1372,1981-05-05,2024-04-02 5:51,미국
116,스마트워치,Electronics,1,33000,1508,1971-01-02,2024-03-01 16:57,독일
117,스마트워치,Electronics,4,41000,1645,1975-03-15,2024-01-18 21:37,대한민국
118,태블릿,Electronics,1,33000,1433,1965-02-01,2024-09-29 12:27,독일
119,청바지,Clothing,2,43000,1497,1980-04-02,2024-06-10 9:01,독일
120,과자,Food,1,48000,1951,1989-11-28,2024-06-29 10:28,미국
